Abatement,MC_A,MC_B,MC_C,MC_D
0,-7.362887066,11.76677514,3.006941071,13.13111653
10,-10.12263449,11.46930136,11.08543438,18.20715793
20,7.158832268,17.24348327,3.623332305,27.07340414
30,20.02507829,8.270554496,28.70523664,4.90573773
40,12.903998,18.91562988,5.523592715,23.37627975
50,2.275473891,11.76474129,14.4901972,31.88967464
60,31.93505948,24.17685961,32.42486611,9.536579914
70,28.28434944,14.14104135,37.82479553,16.98514706
80,45.50192032,27.80125731,35.33134421,23.37831893
90,52.23066686,41.43034882,36.73596409,16.57720697
100,37.67264852,22.59202671,55.37878559,54.23827755
110,45.78910764,32.07523703,71.63752552,51.81856839
120,70.01120068,41.51573574,75.16908475,31.63955566
130,73.67676577,43.90416302,115.4371563,35.38030049
140,72.5784991,17.36111196,111.3143884,50.4022334
150,71.34055888,43.14805848,116.4227651,58.37357879
